"Question","Answer","Source"
"Fatura tutarımı nasıl öğrenebilirim?","Turkcell.com.tr anasayfasından hesabınıza giriş yapın. ""İşlem Merkezi"" alanından ""Faturalarım"" seçeneğine tıklayın. Önünüze gelen sayfada faturanızın özet bilgilerini görebilirsiniz. Kullanım detaylarınızı incelemek için, ilgili fatura satırının sağ tarafında bulunan sarı butona tıklayabilirsiniz...​​Fatura tutarınızı öğrenmek için tıklayın.","https://www.turkcell.com.tr/destek/hattiniz/faturali/fatura-tutarimi-nasil-ogrenebilirim"
"Faturamı Son Ödeme Tarihinde Ödenmediğimde Hattımın Kısıtlanma ve Durdurma Süre ve Süreçleri nelerdir?","​​Faturanın Son Ödeme Tarihinde Ödenmemesi Sonrası Hattın Kısıtlanması ve DurdurulmasıFaturanın son ödeme tarihinde ödenmemesi halinde borçlu hat için ”Elektronik Haberleşme Sektörüne İlişkin Tüketici Hakları Yönetmeliği” hükümleri kapsamında kısıtlama ve durdurma aksiyonları alınmaktadır.Kısıtlama Öncesi :1-Faturanın son ödeme tarihinde ödenmemesi halinde, aboneye kısa mesaj ile, faturanın son ödeme tarihi + 1. günden sonra, ve kısıtlama tarihinden de en az 7 gün önce olacak şekilde hattının kısıtlanacağına dair bilgi verilir.2- Gerekli görülmesi durumunda ödenmemiş faturanın hatırlatılması amacıyla kısıtlama öncesinde ilave olarak kısa mesaj, e-mail gönderimi, anons ve arama gibi aksiyonlar alınmaktadır.Kısıtlama :3- Kısıtlama öncesinde kısa mesaj ile yapılan bildirime rağmen, fatura borcu ödenmezse, kısa mesajda belirtilen kısıtlama tarihinde borçlu hattın kullanımları kısıtlanır.Borçlu hat, faturanın son ödeme tarihini geçtikten sonraki  ilk fatura kesim tarihi  öncesinde, kısıtlanmaktadır.**Hattın Kısıtlanması: Abone hattının acil arama hizmeti ve işletmeci müşteri hizmetleri numarası hariç olmak üzere, giden aramalara ve kısa mesajlara kapatılması şeklinde, internet erişim hizmetlerinde, internet bağlantı hızının düşürülmesi veya asgari olarak abonenin borcunu ödemesine imkân verecek şekilde bazı internet sayfalarına erişim sağlanması,4-Borçlu hattın kısıtlanmasının ardından aboneye kısa mesaj ile hattının kısıtlandığı, ödemenin yapılmaması durumunda  kısıtlı şekilde sunulan hizmetin durdurulacağı ve ödeme işlemini gerçekleştirebileceği kanallara ilişkin bilgisi verilir.5- Gerekli görülmesi durumunda ödenmemiş fatura borçlarının hatırlatılması amacıyla durdurma öncesi kısa mesaj, e-mail gönderimi, anons, arama gibi aksiyonlar alınmaktadır.6- Kısıtlama süreleri fatura itiraz, taksitlendirme ve özel istisna gerektiren durumlar haricinde aşağıdaki gibi gerçekleşmektedir. OHAL durumlarında  sürelerde değişiklikler olabilmektedir.​Kısıtlama Öncesi SMSKısıtlama​Açık Fatura Sayısı​Son Ödeme Tarihi+ 1 ile 10 gün​Kısıtlama Öncesi SMS+7.gün​​1Bu süreler, resmi tatil ve hafta sonları nedeniyle  ötelenebilmektedir.Durdurma :7- Kısa mesajla yapılan durdurma öncesi bildirime ve hattın kısıtlanmasına rağmen, fatura borcu ödenmezse, hattın kullanımları son ödeme tarihini takip eden yeni fatura dönemiyle birlikte tamamen durdurulur.**Hattın Durdurulması: Abone hattının, acil arama hizmeti hariç olmak üzere, gelen ve giden aramalar ile kısa mesajlara kapatılması ve internet erişim hizmetlerinin durdurulması,Kısıtlama-Durdurma Önce ve Sonrası Fatura Ödemesi :8- Aboneler fatura kesim tarihlerinden itibaren tüm ödeme kanallarından fatura ödemelerini gerçekleştirebilirler. Ödeme için :Turkcell Online Fatura Borç Sorgulama ve Ödeme​9- Abonelik iptal olmadığı sürece, borç nedeniyle kısıtlı yada durdurulmuş olan hat, ödenmemiş faturaların ödeme bilgisinin sistemlerimize yansımasından en geç 24 saat içinde kullanıma açılmaktadır.10- Abonenin faturasını ödememesi nedeni ile hizmetin kısıtlanması/durdurulması ve hattın tekrar hizmete açılması durumunda, bir takvim yılındaki ilk açma-kapama işlemi için aboneye herhangi bir ad altında ücret yansıtılmaz.","https://www.turkcell.com.tr/destek/hattiniz/faturali/faturami-son-odeme-tarihinde-odenmedigimde-hattimin-kisitlanma-ve-durdurma-sure-ve-surecleri-nelerdir"
"Faturamı nasıl ödeyebilirim?","​Turkcell.com.tr anasayfasından hesabınıza giriş yapın. Ana menüde en altta bulunan ""İşlem Merkezi"" seçeneğinin üzerine gelin. Açılan ekranda ""Faturalarım"" bölümünün altında yer alan ""Fatura Ödeme"" seçeneğine tıklayın. Önünüze gelen sayfada hat veya hatlarınızı, ""Fatura Seçimi"" başlığı altında da ödenmemiş fatura veya faturalarınızı görebilirsiniz. Ödemek istediğiniz faturanızın sağ tarafında bulunan kutucuğu işaretleyin. Ardından Ödeme Detayları başlığı altında istenen kredi kartı bilgilerini girerek fatura ödemenizi gerçekleştirebilirsiniz.​Faturanızı​ ödemek için tıklayın.​​Bankalar ve Anlaşmalı Kurumlar​Bankalar ve Anlaşmalı Kurumlar​Tüm ŞubeGişel​eriOtomatikÖdeme​ATM​WAP​Telefon​İnternet​Kredi Kartı ileOtomatik Ödeme​Turkcell​​​​​​​​​532 ya da 0532 532 0000​​turkcell.com.trHe​men Öde​var*​​Akbankvar​var​​​444 25 25​akbank.com.tr​var​Aktifbank​var​var​​​444 30 50​aktifbank.com.tr​​Albaraka Türkvarvar​​​​444 5 666albarakaturk.com.tr​​Abank(Alternatif Bank)A.Ş.var​var​​​​abank.com.tr​Anadolu Bank​​var​var​​​​anadolubank.com.tr​​Burgan Bank​var​var​​​0850 222 8 222 ​burgan.com.tr ​​​​Citibank​varvar​​​​444 0 500www.citibank.com.tr​​​var​DenizBank​varvar​​var​​444 0 800​denizbank.com​Fibabanka​​var​var​​444 88 88​​fibabanka.com.tr​​Finansbank​var​varvar​var​444 0 900​finansbank.com.tr​var​Garanti Bankası​var​var​var​var​444 0 333​garanti.com.tr​var​Halkbank​var​var​var​var​444 0 400​halkbank.com.tr​​HSBC Bank​var​var​var​​444 0 111​hsbc.com.tr​var​ICBC Bank​varvar​​​​icbc.com.tr​var​ING BANK​​var​var​​​444 0 600​ingbank.com.tr​varKuveyt Türk Katılım Bankası​​var​var​var​​444 0 123​kuveytturk.com.tr​​PTT​var​var​​​​​​Şekerbank​var​var​​​444 78 78​sekerbank.com.tr​varT.C Ziraat Bankası​​var​var​var​​​ziraat.com.tr​var​TEB​var​var​var​ var​444 0 666​teb.com.tr​Turkishbank​​var​var​​​turkishbank.com.tr​Türkiye Finans Katılım Bankası​​var​var​var​var​444 2 444​turkiyefinans.com.tr​​Türkiye İş Bankası​var​var​var​var​444 0 202​isbank.com.tr​var​Türkiye Vakıflar Bankası​var​var​var​​444 0 724​vakifbank.com.tr​varVakıf Katılım Bankasıvarvarvar​0850 202 1 202vakifkatilim.com.tryok​​​Yapı ve Kredi Bankası​​var​var​var​​444 0 444​yapikredi.com.tr​varZiraat Katılım Bankası​​var​​var​var​​​0850 220 50 00​​ziraatkatilim.com.tr​yok​​Faturalarınızı, Turkcell Mağazalarından nakit veya kredi kartı ile,Turkcell Müşteri Hizmetleri'nden ve Turkcell.com.tr'ye giriş yaparak Turkcell Uygulaması'ndan kredi kartı ile ödeyebilirsiniz.Turkcell mağazalarından nakit veya kredi kartı ile yapılan fatura ödemelerinde işlem ücreti alınmamaktadır.* PTT ve banka kanallarından yapılan fatura ödemelerinde bankalar tarafından müşterilerden değişen işlem ücreti alınabilmektedir. Detaylı bilgi için bankanızla görüşebilirsiniz.* Paycell’in kanallarından (Paycell uygulaması ve Paycell web sitesi) yapılacak Turkcell mobil hat fatura ödemelerinde işlem ücreti alınmamaktadır. Detaylı bilgi için https://paycell.com.tr/fatura-odeme ziyaret edebilirsiniz.​Otomatik ödeme talimatınızı bankalar dışında Turkcell akanallarından da hemen verebilirsiniz. Talimat verebileceğiniz Turkcell kanalları;Turkcell.com.tr'den giriş yaparak Turkcell Uygulaması'ndan ve 532 Seslı Yanıt Sistemi'nden (Visa ve Mastercard logolu) tüm banka kredi kartlarınız ile,Turkcell Mağazalarından de Akbank banka/kredi kartları ve Garanti Bankası kredi kartlarınız ile talimatınızı verebilirsiniz.Haziran 2012 ve öncesi yıllara ait ödenmemiş faturası bulunan müşterilerin, bu borçlarını ödemeleri durumunda, bu borçlar sebebi ile oluşan henüz faturalanmamış faiz, kendilerine faturalandırıl​madan silinecektir.​​​​​​​​​​​​​​​​*Hesabım'a​ www.turkcell.c​om.tr sayfalarından,iPhone ve Android uygulamalarındanulaşabilirsiniz.​Kredi kartımı kaydederek faturamı nasıl ödeyebilirim?Kredi kartı bilgilerinizi Turkcell ve Grup Şirketlerince hatırlanmak üzere güvenli bir şekilde kaydederek fatura ödeme işlemlerinizi de kolaylaştırabilirsiniz.www.turkcell.com.tr’de kart numaranızı tekrar tuşlamak zorunda kalmadan en güvenli ve hızlı şekilde faturanızı ödeyebilirsiniz.532 Turkcell Müşteri Hizmetleri’ni aradığınızda “faturamı ödemek istiyorum” diyerek yönleneceğiniz fatura ödeme adımında kredi kartı bilgilerinizi tuşlamak zorunda olmadan ödemenizi hızlıca tamamlayabilirsiniz.İnternet bağlantınız olmasa bile, size gönderdiğimiz fatura ödeme mesajını yanıtlayarak Turkcell’de kayıtlı kredi kartınızdan güvenli ve kolay bir şekilde faturanızı ödeyebilirsiniz.Kredi kartınızı kaydederek her an her yerden, ihtiyacınız olduğu anda cep telefonunuzla faturanızı ödeyebilirsiniz. Tek yapmanız gereken telefonunuzdan *137# tuşlayıp arama tuşuna basarak kayıtlı kartınızdan ödeme işlemini başlatmak!Tüm bu kolaylıklardan yararlanmak için, eğer kartınızı daha önce kaydetmediyseniz hementıklayın.​​","https://www.turkcell.com.tr/destek/hattiniz/faturali/faturami-nasil-odeyebilirim"
"Faturamın hangi ücretlerden oluştuğunu nasıl öğrenebilirim?","Turkcell.com.tr anasayfasından hesabınıza giriş yapın. Ana menüden en alt kısımdaki ""İşlem Merkezi"" seçeneğinin üzerine tıklayın. Açılan ekranda ""Faturalarım"" altında yer alan ""Fatura Analizi"" seçeneğine tıklayın. Önünüze gelen sayfada Güncel Fatura Detayı başlığının hemen altında bulunan alandan incelemek istediğiniz fatura dönemini seçebilirsiniz. Seçtiğiniz faturanızın paket ve tarife tutarını, paket dışı kullanım ya da paket aşım tutarını Özet, Analiz ve Detay tablarını görüntüleyerek inceleyebilirsiniz.​Fatura analizini incelemek için tıklayın​.​Kullanım durumunuzla ilgili bir sorun olduğunu veya size çözüm üretilmesi gerektiğini düşünüyorsanız,​ 532'yi arayarak Fatura Danışmanlarımızla görüşebilirsiniz.","https://www.turkcell.com.tr/destek/hattiniz/faturali/faturamin-hangi-ucretlerden-olustugunu-nasil-ogrenebilirim"
"Güncel tutarımı nasıl öğrenebilirim ?","Turkcell.com.tr anasayfasından hesabınıza giriş yapın. Ana menüde en alt alanda bulunan ""İşlem Merkezi"" seçeneğinin üzerine gelin. Açılan ekranda ""Faturalarım"" altında yer alan ""Güncel Fatura"" seçeneğine tıklayın. Önünüze gelen sayfada güncel fatura tutarınızı görebilirsiniz. Kullanım detaylarınızı görebilmek için, güncel fatura tutarınızın bulunduğu satırın sağ tarafında yer alan sarı butona tıklayabilirsiniz.​Güncel fatura detayınızı incelemek için tıklayın​.​","https://www.turkcell.com.tr/destek/hattiniz/faturali/guncel-tutarimi-nasil-ogrenebilirim"
"Fatura tutarımın ne kadar olacağını, faturam kesilmeden sorgulayabilir miyim?","Turkcell.com.tr anasayfasından hesabınıza giriş yapın. Ana menüde en altta yer alan ""İşlem Merkezi"" seçeneğinin üzerine gelin. Açılan ekranda ""Faturalarım"" altında yer alan ""Güncel Fatura"" seçeneğine tıklayın. Önünüze gelen sayfada güncel fatura tutarınızı; paket ücretleriniz, vergiler, o zamana kadar yapmış olduğunuz işlemler ve sisteme yansıyan tüm kullanımlarınızdan oluşan tutar özetiyle görebilirsiniz.Güncel fatura detayınızı incelemek için tıklayın​.​","https://www.turkcell.com.tr/destek/hattiniz/faturali/faturamin-ne-kadar-cikacagini-faturam-kesilmeden-sorgulayabilir-miyim"
"Güncel tutarımın içinde hangi ücretler olduğunu nasıl öğrenebilirim?","Turkcell.com.tr anaysafasından hesabınıza giriş yapın. Ana menüde en alltta bulunan ""İşlem Merkezi"" bölümünün üzerine gelin. Açılan ekranda ""Faturalarım"" altında yer alan ""Güncel Fatura"" seçeneğine tıklayın. Burada güncel faturanızın tutarını ve ücret dağılımını görebilirsiniz.​Güncel fatura tutarınızın sağ tarafında bulunan sarı butona tıkladığınızda güncel fatura detayınıza erişebilirsiniz. Özet tabında kullanım özetinizi, Analiz tabında konuşma istatistiklerinizi ve Detay tabında da hattınızla yaptığınız iletişim işlemlerini ve tutarlarını ayrıntılı bir şekilde görebilirsiniz.​Güncel tutarınızı incelemek için tıklayın​.​","https://www.turkcell.com.tr/destek/hattiniz/faturali/guncel-tutarimin-icinde-hangi-ucretler-oldugunu-nasil-ogrenebilirim"
"Fatura kesim tarihimi nasıl değiştirebilirim?","Turkcell.com.tr anasayfasından hesabınıza giriş yapın. Ana menüde en alt kısında bulunan ""İşlem Merkezi"" seçeneğindeki ""Faturalarım"" altında yer alan ""Fatura Ayarlarım"" bölümüne tıklayın. Açılan sayfayı aşağı doğru kaydırdığınızda ""Fatura Kesim Tarihi"" başlığı altında faturalarınızın kesilmesini istediğiniz tarih aralığını seçebilirsiniz.Fatura kesim tarihini değiştirmek için tıklayın.​Yeni müşterilerimiz için; faturalı hatta geçiş, Mobil numara taşıma (Port-In), Yeni tesis aboneliklerinde Billcycle (fatura dönemi belirleme) belirlenmesi işlemin yapıldığı tarihe göre ayın 10 ya da 20'si olacaktır. Sonrasında ​faturanızın kesilme tarihini talebinize göre Turkcell uygulamasından, Turkcell.com.tr'den, Turkcell çağrı merkezinden her ayın 10, 20 ve 25'i olarak belirleyebilirsiniz. ​*Fatura son ödeme dönemi değişikliği yaptığınız tarihi takiben, iki ay içinde tekrar değişiklik talebinde bulunamazsınız.","https://www.turkcell.com.tr/destek/hattiniz/faturali/fatura-kesim-tarihimi-nasil-degistirebilirim"
"Faturamın son ödeme tarihini nasıl öğrenebilirim?","Turkcell.com.tr anasayfasından hesabınıza giriş yapın. Ana menüdeki en altta bulunan ""İşlem Merkezi"" seçeneğinin altındaki ""Faturalarım"" seçeneğine tıklayın. Önünüze gelen sayfada güncel fatura tutarınızı ve hemen altında kesilmiş son faturanızı görebilirsiniz. Son faturanızın son ödeme tarihini aynı ekranda görebilir, aynı satırda bulunan sarı butona tıklayarak Fatura Detay sayfasına yönlenebilirsiniz.​Faturanızın son ödeme tarihini öğrenmek için tıklayın​.​​","https://www.turkcell.com.tr/destek/hattiniz/faturali/faturamin-son-odeme-tarihini-nasil-ogrenebilirim"
"Otomatik Ödeme Talimatı nasıl verebilirim?","​​Turkcell.com.tr anasayfasından hesabınıza giriş yapın. Ana menüde en altta yer alan ""İşlem Merkezi"" kategorisinin üzerine gelin. Açılan ekranda ""Faturalarım"" seçeneğine tıklayın. Önünüze gelen ekranda, sol menüden ""Otomatik Ödeme Talimatı​"" seçeneğine tıklayın. Açılan sayfada hat veya hatlarınızı, alt bölümde de kredi kartı veya **debit kart bilgilerinizi girerek ""Otomatik Ödeme Talimatı"" verebileceğiniz alanları görebilirsiniz. Diğer Hatlar seçeneği ile başkasının adına kayıtlı hatlar için de otomatik ödeme talimatı verebilirsiniz.​Hemen otomatik ödeme talimatı vermek için tıklayın.​​Sesli Yanıt Sistemi Fatura Danışmanı menüsünden 5'i tuşlayarak kredi kartı ve **debit kart ile, Turkcell Mağazalarından Akbank banka/kredi kartları ve Garanti Bankası kredi kartları ile talimat verebilirsiniz.​ Ayrıca bankaların internet bankacılığı, müşteri hizmetleri ve şube kanallarından, vadesiz hesabınızdan veya kredi kartınızdan da  talimat verebilirsiniz.​SMS ile kredi kartı ve **debit kartınız ile otomatik ödeme talimatı vermek istıyorsanız OTO yazıp 2222'ye gönderin, biz sizi arayalım.Bankalar ve Anlaşmalı Kurumlar​Bankalar ve Anlaşmalı Kurumlar​Tüm ŞubeGişel​eriOtomatikÖdeme​ATM​WAP​Telefon​İnternet​Kredi Kartı ileOtomatik Ödeme​Turkcell​​​​​​​​​532 ya da 0532 532 0000​​turkcell.com.trHe​men Öde​var*​​Akbankvar​var​​​444 25 25​akbank.com.tr​var​Aktifbank​var​var​​​444 30 50​aktifbank.com.tr​​Albaraka Türkvarvar​​​​444 5 666albarakaturk.com.tr​​Abank(Alternatif Bank)A.Ş.var​var​​​​abank.com.tr​Anadolu Bank​​var​var​​​​anadolubank.com.tr​Burgan Bank​var​var​​​0850 222 8 222 ​www.burgan.com.tr ​​​​Citibank​varvar​​​​444 0 500​www.citibank.com.tr​var​DenizBank​varvar​​var​​444 0 800​denizbank.com​Fibabanka​​var​var​​444 88 88​​fibabanka.com.tr​​Finansbank​var​varvar​var​444 0 900​finansbank.com.tr​var​Garanti Bankası​var​var​var​var​444 0 333​garanti.com.tr​var​Halkbank​var​var​var​var​444 0 400​halkbank.com.tr​​HSBC Bank​var​var​var​​444 0 111​hsbc.com.tr​varING BANK​​var​var​​​444 0 600​ingbank.com.tr​varKuveyt Türk Katılım Bankası​​var​var​var​​444 0 123​kuveytturk.com.tr​​PTT​var​var​​​​​​Şekerbank​var​var​​​444 78 78​sekerbank.com.tr​varT.C Ziraat Bankası​​var​var​var​​​ziraat.com.tr​var​TEB​var​var​var​ var​444 0 666​teb.com.tr​​Tekstilbank​var​var​​​​tekstilbank.com.tr​varTurkishbank​​var​var​​​www.turkishbank.com​​​​Türkiye Finans Katılım Bankası​​var​var​var​var​444 2 444​turkiyefinans.com.tr​​Türkiye İş Bankası​var​var​var​var​444 0 202​isbank.com.tr​var​Türkiye Vakıflar​ Bankası​var​var​var​​444 0 724​vakifbank.com.tr​var​Vakıf Katılım Bankası​var​var​var​​0850 202 1 202​vakifkatilim.com.tr​​yok​​Yapı ve Kredi Bankası​​var​var​var​​444 0 444​yapikredi.com.tr​varFaturalarınızı, Turkcell Mağazalarından nakit veya kredi kartı ile,Turkcell Müşteri Hizmetleri'nden ve Turkcell.com.tr'ye giriş yaparak Turkcell Uygulaması'ndan kredi kartı ile ödeyebilirsiniz.Çağrı merkezinden anlaşmalı bankaların kredi kartlarına taksitlendirme yaparak ödeyebilirsiniz.​PTT ve banka şubelerinin gişelerinden yapılacak fatura ödemelerinde, bankalar ve PTT tarafından 1 TL işlem ücreti alınmaktadır.*Otomatik ödeme talimatınızı bankalar dışında Turkcell kanallarından da hemen verebilirsiniz. Talimat verebileceğiniz Turkcell kanalları;Turkcell.com.tr'den giriş yaparak Turkcell Uygulaması'ndan ve 532 Seslı Yanıt Sistemi'nden (Visa ve Mastercard logolu) tüm banka kredi kartlarınız ile,Turkcell Mağazaları'nden de Akbank banka/kredi kartları ve Garanti Bankası kredi kartlarınız ile talimatınızı verebilirsiniz.Haziran 2012 ve öncesi yıllara ait ödenmemiş faturası bulunan müşterilerin, bu borçlarını ödemeleri durumunda, bu borçlar sebebi ile oluşan henüz faturalanmamış faiz, kendilerine faturalandırıl​madan silinecektir.​​​​​​​​​​​​​​​​*Hesabım'a​ www.turkcell.c​om.tr sayfalarından,iPhone ve Android uygulamalarındanulaşabilirsiniz.**Debit Kart: Paycell kart, banka hesap kartı veya diğer ödeme çözümlerine ait kartları kapsamaktadır.​","https://www.turkcell.com.tr/destek/hattiniz/faturali/otomatik-odeme-talimati-nasil-verebilirim"
"Otomatik ödeme talimatımı nasıl iptal ederim?","Turkcell.com.tr anasayfasından hesabınıza giriş yapın. Ana menüde en alttaki alanda bulunan ""İşlem Merkezi"" kategorisinin üzerine tıklayın. Açılan ekranda ""Faturalarım"" seçeneğine tıklayın. Önünüze gelen ekranda, sol menüden ""Otomatik Ödeme Talimatı"" seçeneğine tıklayın. Açılan sayfada ödeme talimatlarınızı görebilirsiniz. Eğer otomatik ödeme talimatınızı turkcell.com.tr üzerinden vermişseniz, talimatı Turkcell üzerinden iptal edebilirsiniz. Bankalar üzerinden verdiğiniz otomatik ödeme talimatlarını, ait olduğu banka ile iletişime geçerek iptal edebilirsiniz.​Otomatik ödeme talimatı vermek/iptal etmek için tıklayın​.​​","https://www.turkcell.com.tr/destek/hattiniz/faturali/otomatik-odeme-talimatimi-nasil-iptal-ederim"
"Kontratlı bir tarifedeyim, fatura dönem değişikliği yapabilir miyim?","Yıllık kontratlı ve cihazlı kampanyaların büyük kısmında fatura dönem değişikliği yapılabilmektedir. Bulunduğunuz kampanyada fatura dönem değişikliği yapılıp yapılmadığını öğrenmek ve işlem yapmak içintıklayınız​.​Kontratlı kampanyalarda fatura kesim tarihinizi değiştirdiğinizde, kampanyanızın bitiş tarihi de yeni fatura kesiminize uygun olacak şekilde güncellenir. Kampanya bitiş tarihinizi de Turkcell Uygulaması altındna kontrol edebilirsiniz.","https://www.turkcell.com.tr/destek/hattiniz/faturali/tek-fatura-nedir"
"E-fatura ve sms fatura talimatı nasıl verebilirim?","Turkcell.com.tr anasayfasından hesabınıza giriş yapın. Ana menüde en altta bulunan ""İşlem Merkezi"" bölümünün üzerine gelin. Açılan ekranda ""Faturalarım"" altında yer alan ""Fatura Ayarları""na tıklayın. Önünüze gelen sayfada ""Fatura Gönderim Yöntemi"" başlığı altında E-fatura ve SMS Fatura seçeneklerini görebilirsiniz.Faturalarınızı e-posta yoluyla almak istiyorsanız, E-fatura seçeneğini işaretleyerek hemen altında bulunan alana e-posta adresinizi yazmanız ve ""Efatura'ya Geç"" butonuna tıklamanız yeterlidir. Faturalarınızı SMS ile almak istiyorsanız SMS Fatura seçeneğini işaretleyerek ​""SMS Fatura'ya Geç"" butonuna tıklamanız yeterlidir.E-fatura ve sms fatura talimatı vermek için tıklayın​.​","https://www.turkcell.com.tr/destek/hattiniz/faturali/kontratli-bir-tarifedeyim-fatura-donem-degisikligi-yapabilir-miyim"
"Faturamdaki vergiler nelerdir?","​​​​Yeni bir faturalı hat almanız durumunda, kullanımlarınızdan bağımsız olarak yansıyacak vergiler;Yeni Tesis Özel İletişim Vergisi: 570,00 TL; bu vergi, yeni abonelikler için 12 eşit taksitte faturalandırılmaktadır. Bu vergi faturanızda, Diğer Vergiler, Harçlar, Fonlar kaleminde yer alır. ​Telsiz Ruhsat Ücreti: Yeni hat alımlarında bir seferlik ödenir. Yıllık 258,04 TL olup, Turkcell’de faturanıza ilk 12 ay boyunca eşit taksitler halinde yansıtılır.Telsiz Kullanım Ücreti: Yıllık 258,04 TL olup, aylık 21,51 TL (son ay 21,43TL)’lik taksitlerle kullanımlarınızdan bağımsız olarak faturanıza yansıtılır.​Not: Bu vergiler, faturanızda Diğer Vergiler, Harçlar, Fonlar kaleminde ilgili dönemde faturalandırılır ve sizin adınıza devlete iletilir. Ancak size kolaylık sağlaması için aynı faturaya aynı tutarda, İndirimler kaleminde indirim verilir ve vergi toplamı 12 taksit halinde Tahsilatına Aracılık Edilen Ödemeler kaleminde faturanıza yansıtılır.Kullanımlarınız üzerinden yansıyacak vergiler: KDV; Katma Değer Vergisi Kanunu gereğince, tüm haberleşme hizmetleri için faturanıza KDV yansıtılmaktadır.Özel İletişim Vergisi: 30.12.2020 tarihi itibarıyla faturanızda yer alan Özel İletişim Vergisi’ne tabii tüm mobil hizmetler için %10 oranında Özel İletişim Vergisi alınmaktadır.​ (6802 sayılı kanunun 39. maddesi gereğince; cep telefonu işletmecileri tarafından verilen (ön ödemeli kart satışları dahil) tesis, devir, nakil ve haberleşme hizmetleri bu kapsama dahildir.)Damga Vergisi: Cihaz veya paket gibi belli bir bedel içeren kampanyaya katılmanız durumunda faturanıza yansıyacaktır. Tarafınızdan imzalanan sözleşmede/taahhütnamede yer alan en yüksek parasal tutarın %0,948'i olarak hesaplanır. ​​Not: Faturalı hattınızı başka birine devrederseniz, devralan kişi devraldığı hattın tüm vergi borçlarını da devralmış olur. Ek olarak yeni bir aboneye uygulanan tüm vergiler kendisinden alınır.​","https://www.turkcell.com.tr/destek/hattiniz/faturali/e-fatura-ve-sms-fatura-talimati-nasil-verebilirim"
"Limit altı fatura nedir?","​Fatura tutarınız belirli bir limitin altında kalırsa, o döneme ait faturanız kesilmez ve limit altında kalan tutar bir sonraki fatura döneminize devreder.Limit altı fatura tutarı basılı faturalar için 85 TL, diğer fatura gönderim tipleri için 5 TL'dir.​Faturanızın limit altı tutardan az olması durumunda yine de kesilmesini isterseniz, 532'den Turkcell Müşteri Hizmetleri ile iletişime geçebilirsiniz.","https://www.turkcell.com.tr/destek/hattiniz/faturali/faturamdaki-vergiler-nelerdir"
